drift_family,estimator,trial,beta,sign_error,mse,entropy_final,sign_prob_final
ou,x_pf,39,0.0,0.43,0.3250216405295365,0.9996919616752682,0.5103320060857888
ou,x_pf,40,0.0,0.5,0.31847057030253695,0.9964000784027351,0.5353072184349231
ou,x_pf,41,0.0,0.62,0.2422162552355278,0.9916672347103114,0.44631245911683837
ou,x_pf,42,0.0,0.76,0.4330664138049911,0.980897001188122,0.41881304683337406
ou,x_pf,43,0.0,0.59,0.2218442216842556,0.9984258481767772,0.523352965480339
ou,x_pf,44,0.0,0.55,0.35052015581707635,0.9999819038592066,0.49749568007982764
ou,x_pf,45,0.0,0.39,0.3689640318697833,0.9998651154441309,0.4931628976970093
ou,x_pf,46,0.0,0.31,0.07999387428789953,0.9981757764656767,0.5251388380842785
ou,x_pf,47,0.0,0.65,0.48625545357158095,0.9374208414333427,0.35380549323005245
ou,x_pf,48,0.0,0.44,0.34373085790999597,0.9958149896492527,0.4619341222098529
ou,x_pf,49,0.0,0.53,0.6134302290451739,0.9922730808504051,0.5517026281357674
ou,x_pf,50,0.0,0.74,0.28690030412608436,0.9829082490607222,0.42318776151470916
ou,x_pf,51,0.0,0.54,0.5254523571721436,0.9998093396317866,0.4918713508237978
ou,x_pf,52,0.0,0.3,0.5123446299894615,0.9914052438982961,0.4454766508685167
ou,x_pf,53,0.0,0.55,0.3406538124876691,0.9801082391185717,0.41716150769605376
ou,x_pf,54,0.0,0.64,0.3606046961222902,0.9995338519671255,0.48729027157330845
ou,x_pf,55,0.0,0.37,0.23838607784524954,0.9979512570627671,0.5266402707738665
ou,x_pf,56,0.0,0.38,0.7659451283543552,0.9999939455803922,0.4985514493432148
ou,x_pf,57,0.0,0.53,0.24206789217910685,0.9865955450558856,0.43194690137111585
ou,x_pf,58,0.0,0.41,0.5990878533476794,0.9640516903552832,0.3888473765600447
ou,x_pf,59,0.0,0.37,0.9386172714777956,0.9999670142163589,0.5033811114056395
ou,xy_snapshot,0,0.0,0.27,0.11152866566325248,0.00025850743165616773,0.9999852184567906
ou,xy_snapshot,1,0.0,0.18,0.1257418415423848,0.32171915831633713,0.9414357015362428
ou,xy_snapshot,2,0.0,0.17,0.08779727345875454,0.8907012202109563,0.6921284596534841
ou,xy_snapshot,3,0.0,0.25,0.12237837935958344,0.4255475701745261,0.9132441436585605
ou,xy_snapshot,4,0.0,0.18,0.3021482157754315,0.23724306247763324,0.9610962685478678
ou,xy_snapshot,5,0.0,0.21,0.09583299471683505,0.7485088381051157,0.2137068929046721
ou,xy_snapshot,6,0.0,0.14,0.13064750778127487,0.9774498801137266,0.5881729625430575
ou,xy_snapshot,7,0.0,0.13,0.1365112654401676,0.4394192346229386,0.09088568657433617
ou,xy_snapshot,8,0.0,0.19,0.08871504418543495,0.722225200591323,0.7998513973781088
ou,xy_snapshot,9,0.0,0.17,0.12564566130470978,0.0021411607722947677,0.9998484749960747
ou,xy_snapshot,10,0.0,0.27,0.07840815245756969,0.9994937260735577,0.4867545990254589
ou,xy_snapshot,11,0.0,0.19,0.12087501228850944,0.9021122851708723,0.682073544851195
ou,xy_snapshot,12,0.0,0.27,0.14887891796386907,0.8176669109700658,0.2540709582969161
ou,xy_snapshot,13,0.0,0.16,0.14795738655243673,0.13226186979237647,0.018382859045688826
ou,xy_snapshot,14,0.0,0.18,0.11473098434194746,0.8508512313049577,0.7233461889429079
ou,xy_snapshot,15,0.0,0.46,0.12596881762853,0.3348136621103485,0.9381325906371268
ou,xy_snapshot,16,0.0,0.28,0.0997816814964665,0.023920570689558874,0.9976486959112093
ou,xy_snapshot,17,0.0,0.16,0.14893350682206397,0.9190394734817272,0.33407877587702933
ou,xy_snapshot,18,0.0,0.17,0.1808194392813458,0.8852391157714541,0.6967402933953863
ou,xy_snapshot,19,0.0,0.13,0.22401728836375884,0.8351541301080991,0.7343493459666184
ou,xy_snapshot,20,0.0,0.23,0.1373510849289422,0.4282135884164544,0.08754256521680157
ou,xy_snapshot,21,0.0,0.15,0.1707747060042055,0.6150640932947362,0.8479026653857035
ou,xy_snapshot,22,0.0,0.17,0.12709303255744187,0.6226036469862911,0.8448401306247013
ou,xy_snapshot,23,0.0,0.22,0.09994694833277346,0.7941881991589358,0.7605117630008437
ou,xy_snapshot,24,0.0,0.3,0.11127106849353768,0.9466548917258325,0.3648741848718513
ou,xy_snapshot,25,0.0,0.3,0.13922972142794388,0.23478444747924715,0.961626488185374
ou,xy_snapshot,26,0.0,0.23,0.10836306977244144,0.5957324262366326,0.14443327303730874
ou,xy_snapshot,27,0.0,0.31,0.13632498673651214,0.500033337908161,0.8899610811814536
ou,xy_snapshot,28,0.0,0.28,0.08880066730314239,0.8649117631190437,0.28707421236349845
ou,xy_snapshot,29,0.0,0.19,0.14705880824042258,0.8201543099324883,0.7443218815098755
ou,xy_snapshot,30,0.0,0.21,0.09430904430830761,0.9483110141513535,0.6330377809204576
ou,xy_snapshot,31,0.0,0.27,0.08603716019023266,0.9712149838466284,0.5995469689461218
ou,xy_snapshot,32,0.0,0.18,0.1323859202501524,0.9383218079565374,0.6451538051909331
ou,xy_snapshot,33,0.0,0.35,0.12661856277942773,0.8965346264083511,0.31293695227975293
ou,xy_snapshot,34,0.0,0.1,0.09067849615880716,0.11687996022419408,0.9842469062201533
ou,xy_snapshot,35,0.0,0.24,0.11673907349781296,0.9739749565897065,0.40531512531209224
ou,xy_snapshot,36,0.0,0.23,0.11534149679579092,0.7290543098508417,0.7964079359454673
ou,xy_snapshot,37,0.0,0.18,0.1331506439751615,0.633055143446097,0.15947626611727606
ou,xy_snapshot,38,0.0,0.22,0.1509188133964722,0.1407280750773179,0.019873212572254512
ou,xy_snapshot,39,0.0,0.22,0.12381096248283803,0.9747753321164669,0.5932262459259303
ou,xy_snapshot,40,0.0,0.18,0.2304621251931592,0.8877848771481143,0.30539399724959704
ou,xy_snapshot,41,0.0,0.25,0.21244956031433537,0.9938944605977037,0.54596772780083
ou,xy_snapshot,42,0.0,0.27,0.06368561801059172,0.0117130991506919,0.9989692889282044
ou,xy_snapshot,43,0.0,0.24,0.11390389830035051,0.4294060426928668,0.9121044828228547
ou,xy_snapshot,44,0.0,0.12,0.14128902600127874,0.32017571016287605,0.05817957262739668
ou,xy_snapshot,45,0.0,0.16,0.11998031007774033,0.14285366082433465,0.02025209631630642
ou,xy_snapshot,46,0.0,0.12,0.15152859214980413,0.1175233682116132,0.9841389573341045
ou,xy_snapshot,47,0.0,0.26,0.20162970259419372,0.9812652205547968,0.41959586531951537
ou,xy_snapshot,48,0.0,0.28,0.10697773079678369,0.4846559121770447,0.8949973564601033
ou,xy_snapshot,49,0.0,0.21,0.09948933285678065,0.8579764028915657,0.28186264893056634
ou,xy_snapshot,50,0.0,0.25,0.12967035345371603,0.4801272003708587,0.10354304355423545
ou,xy_snapshot,51,0.0,0.27,0.0870286031929886,0.9767708815761633,0.41051649752635067
ou,xy_snapshot,52,0.0,0.28,0.1754433172327829,0.9745785726979628,0.5935869849203914
ou,xy_snapshot,53,0.0,0.21,0.0911479159981003,0.4654284413810226,0.9011221169072693
ou,xy_snapshot,54,0.0,0.11,0.14104037010898476,0.5879209877730273,0.14141053464184686
ou,xy_snapshot,55,0.0,0.29,0.12160216514278346,0.7562572511432366,0.21786901383110394
ou,xy_snapshot,56,0.0,0.25,0.13194128078678508,0.1913432384999127,0.029393921479242437
ou,xy_snapshot,57,0.0,0.24,0.08751202632446847,0.19865418201928814,0.9691465084480579
ou,xy_snapshot,58,0.0,0.19,0.08748673732062877,0.9211136906223045,0.33617740946175245
ou,xy_snapshot,59,0.0,0.29,0.09093356456856855,0.046956283697566166,0.005202637520616095
ou,xy_pf,0,0.0,0.16,0.05008677063182956,0.008571161513705662,0.9992784478497874
ou,xy_pf,1,0.0,0.2,0.03469318135255344,0.894145873955338,0.6891555092658406
ou,xy_pf,2,0.0,0.05,0.0263565339134215,4.130580026464068e-11,1e-12
ou,xy_pf,3,0.0,0.16,0.04745684495161376,0.037635236503719804,0.9959983823301428
ou,xy_pf,4,0.0,0.25,0.06369733459692078,0.9098143145666154,0.6749258283570816
ou,xy_pf,5,0.0,0.1,0.04603452321218685,0.035028170285700745,0.9963234567640076
ou,xy_pf,6,0.0,0.2,0.05825299066927481,0.9365541949492431,0.647188198088968
ou,xy_pf,7,0.0,0.22,0.05410059892029058,0.6526238983492727,0.832210121389974
ou,xy_pf,8,0.0,0.08,0.045916740276443206,0.011552785471649498,0.9989854300167065
ou,xy_pf,9,0.0,0.11,0.0492783633668901,0.02882758118646466,0.0029241839005619556
ou,xy_pf,10,0.0,0.21,0.06411464222176141,0.7243292188847565,0.20120382388329522
ou,xy_pf,11,0.0,0.22,0.04454328620235411,0.9652129336810911,0.609357486275299
ou,xy_pf,12,0.0,0.11,0.06155407442063801,4.130580026464068e-11,1e-12
ou,xy_pf,13,0.0,0.09,0.025254811141872745,0.0011269784466623974,7.434890108423289e-05
ou,xy_pf,14,0.0,0.14,0.07813626313041931,0.004123179444857718,0.0003153962270780767
ou,xy_pf,15,0.0,0.13,0.05302860249162637,4.130580026464068e-11,1e-12
ou,xy_pf,16,0.0,0.18,0.05469587942692564,0.9123455994297155,0.6725058941968942
ou,xy_pf,17,0.0,0.06,0.04079796666324196,0.04086096230569639,0.9955894306019859
