estimator,trial,beta,sign_error,mse,entropy_final,sign_prob_final
adaptive_x,59,0.0,0.47,0.11661273045971715,0.9996343850837055,0.48874381193279615
adaptive_x,60,0.0,0.49,0.18039010810655703,0.9139281604485525,0.3290260148919946
adaptive_x,61,0.0,0.46,0.1551569022037956,0.9985289659441994,0.47742460959600164
adaptive_x,62,0.0,0.32,0.26303885601479343,0.9938493707712234,0.5461369120389794
adaptive_x,63,0.0,0.53,0.14504666244681122,0.9961057286582589,0.5367210673824272
adaptive_x,64,0.0,0.44,0.27621230433545974,0.9346439242518564,0.6493537087353027
adaptive_x,65,0.0,0.44,0.26106923239394975,0.9994437610683913,0.5138835495031604
adaptive_x,66,0.0,0.33,0.21517712839110598,0.9998755322745498,0.49343220083117034
adaptive_x,67,0.0,0.24,0.3909336926421855,0.9533060041274195,0.37347906689798216
adaptive_x,68,0.0,0.16,0.21980998680931982,0.9993210017163656,0.5153390336309929
adaptive_x,69,0.0,0.51,0.27028580267964875,0.996780657609437,0.5333902513861671
adaptive_x,70,0.0,0.14,1.5695847254803161,0.9984358996564584,0.5232783149257628
adaptive_x,71,0.0,0.72,0.22508202643311023,0.9997599645739467,0.509120598970936
adaptive_x,72,0.0,0.96,1.735204138571172,0.9774942055118379,0.4119132828545007
adaptive_x,73,0.0,0.59,0.2487871414894877,0.9978582400039193,0.47276197398161024
adaptive_x,74,0.0,0.24,0.35434042472734734,0.9986203404752262,0.5218632366055661
adaptive_x,75,0.0,0.58,0.39577146982673045,0.9998558755773588,0.49293260619016294
adaptive_x,76,0.0,0.27,0.12100426302867076,0.9998333994314431,0.5075984955483088
adaptive_x,77,0.0,0.48,0.23187246821012175,0.9701596132558628,0.6013429215164979
adaptive_x,78,0.0,0.37,0.17040925201347845,0.9581880488402441,0.38020694348458417
adaptive_x,79,0.0,0.65,0.2931238346489546,0.994855047002339,0.5422017082628456
adaptive_x,80,0.0,0.67,0.2904065334991525,0.9996819865916093,0.4895020501893418
adaptive_x,81,0.0,0.36,0.595269582776515,0.9823070651746028,0.5781459904517562
adaptive_x,82,0.0,0.67,0.29996214137113714,0.9989850882751257,0.48124742388012925
adaptive_x,83,0.0,0.68,0.33128602657117917,0.9971410841379273,0.46853303204326147
adaptive_x,84,0.0,0.59,0.31172648189386487,0.998221731371734,0.5248203078835192
adaptive_x,85,0.0,0.74,0.4681015662357848,0.9683207737147848,0.6043962793372686
adaptive_x,86,0.0,0.47,0.1426659829318283,0.4926370645075828,0.8923990350205464
adaptive_x,87,0.0,0.54,0.21223082663902587,0.9994141369744592,0.514248409242142
adaptive_x,88,0.0,0.38,0.18179479008390328,0.9974991668350147,0.47056835364296135
adaptive_x,89,0.0,0.62,2.567720489728731,0.9867674104429507,0.5676167693337264
adaptive_x,90,0.0,0.62,0.1845820785335202,0.9800344472711571,0.5829912883449387
adaptive_x,91,0.0,0.22,0.43512401526988653,0.9339215033744621,0.6501640009032352
adaptive_x,92,0.0,0.64,0.26747114549562423,0.9988796140679376,0.48029731874553805
adaptive_x,93,0.0,0.27,0.7064292264641331,0.9211132913761602,0.3361770027219395
adaptive_x,94,0.0,0.72,0.42759311276511736,0.9999876384763976,0.497930177452035
adaptive_x,95,0.0,0.8,1.3622210475706245,0.9955484942818691,0.5392579532894483
adaptive_x,96,0.0,0.29,0.3345406687205316,0.9826413391887722,0.42259272765470624
adaptive_x,97,0.0,0.86,0.47558662517660244,0.999755242394593,0.509209871058806
adaptive_x,98,0.0,0.45,0.529161350445656,0.9999664843559773,0.5034081589062854
adaptive_x,99,0.0,0.64,0.36748274895162025,0.9960369991925448,0.4629566019251745
adaptive_x,100,0.0,0.79,0.31308965408827133,0.9934819349961819,0.4525069993187133
adaptive_x,101,0.0,0.69,0.35952675190798394,0.9746200933144367,0.593510979590905
adaptive_x,102,0.0,0.12,0.39913031424656936,0.9903978499225912,0.4423765500476231
adaptive_x,103,0.0,0.52,0.28520806302823193,0.9942538012280667,0.5445963601021989
adaptive_x,104,0.0,0.77,0.8382779411701329,0.9990148039320808,0.48152392874223215
adaptive_x,105,0.0,0.36,0.2282143244659568,0.9999990356872381,0.4994218951119489
adaptive_x,106,0.0,0.59,0.368077446807449,0.9998584674922959,0.492996441955201
adaptive_x,107,0.0,0.47,0.2690012155940767,0.997666272815698,0.5284318835294505
adaptive_x,108,0.0,0.39,0.15521742269626723,0.9785685686618393,0.5859692702398922
adaptive_x,109,0.0,0.24,0.24767386250348736,0.6742121346561031,0.1773349817007696
adaptive_x,110,0.0,0.3,0.22825047278824356,0.9999611192524145,0.4963291800327575
adaptive_x,111,0.0,0.48,0.281209591327663,0.98420555252654,0.5738507482399811
adaptive_x,112,0.0,0.79,0.4100505452549822,0.9957063930918222,0.4614438853372024
adaptive_x,113,0.0,0.36,0.3268951386135924,0.9437342664893498,0.3612723465406986
adaptive_x,114,0.0,0.52,0.24366414637922723,0.9416747480632159,0.6412093604949074
adaptive_x,115,0.0,0.61,0.4768119004577411,0.9944730167998252,0.4562614695160786
adaptive_x,116,0.0,0.53,0.22926959476844944,0.9929124624309307,0.45047901201325974
adaptive_x,117,0.0,0.25,0.09997210972882135,0.9966756695329668,0.4660700730217373
adaptive_x,118,0.0,0.35,0.29260762323836564,0.9829985575429403,0.5766098464897745
adaptive_x,119,0.0,0.4,0.1402611599711927,0.998744386733366,0.47914248003824905
adaptive_x,120,0.0,0.67,0.15862694572206404,0.9997359243471857,0.4904335971847376
adaptive_x,121,0.0,0.15,0.4192753929302176,0.9073140648223081,0.32271924955237913
