gain,estimator,trial,residual_var
0.6,x_only,19,0.22644448094619118
0.6,x_only,20,0.17615843013455532
0.6,x_only,21,0.3018431496390516
0.6,x_only,22,0.28899103258142045
0.6,x_only,23,0.27037989690569075
0.6,x_only,24,0.2829135684990869
0.6,x_only,25,0.19060187277294585
0.6,x_only,26,0.12767775113357024
0.6,x_only,27,0.31538864948820594
0.6,x_only,28,0.3513238632228574
0.6,x_only,29,0.2978655671553952
0.6,x_only,30,0.3656999119848964
0.6,x_only,31,0.41582969528847535
0.6,x_only,32,0.3098054550060161
0.6,x_only,33,0.1887666636765444
0.6,x_only,34,0.45080614893396664
0.6,x_only,35,0.3880932633801858
0.6,x_only,36,0.20957835019837506
0.6,x_only,37,0.28330255532321713
0.6,x_only,38,0.13164301650383292
0.6,x_only,39,0.43342254579365525
0.6,x_only,40,0.42086765353896466
0.6,x_only,41,0.3098187816781072
0.6,x_only,42,0.5115386760552827
0.6,x_only,43,0.21758255697939424
0.6,x_only,44,0.25572058779748913
0.6,x_only,45,0.21709499813001593
0.6,x_only,46,0.3138977610869804
0.6,x_only,47,0.14017642227762186
0.6,x_only,48,0.31789095723924476
0.6,x_only,49,0.1830905065844961
0.6,x_only,50,0.25715571303346524
0.6,x_only,51,0.24401468972204093
0.6,x_only,52,0.3257603597255362
0.6,x_only,53,0.33072016499506374
0.6,x_only,54,0.5240343243455593
0.6,x_only,55,0.2394622430449404
0.6,x_only,56,0.1250027283827714
0.6,x_only,57,0.4128084314365518
0.6,x_only,58,0.27551187063935134
0.6,x_only,59,0.32393982281561023
0.6,xy,0,0.08172431082558139
0.6,xy,1,0.0523689180935603
0.6,xy,2,0.05752685724292027
0.6,xy,3,0.08540753386670344
0.6,xy,4,0.07731670932738983
0.6,xy,5,0.06375939016798247
0.6,xy,6,0.06228993379079408
0.6,xy,7,0.0641323500926653
0.6,xy,8,0.09714435279491668
0.6,xy,9,0.06279728304955161
0.6,xy,10,0.09735200458887691
0.6,xy,11,0.09828262154527509
0.6,xy,12,0.09223869430168684
0.6,xy,13,0.053598302049894436
0.6,xy,14,0.07042553529316214
0.6,xy,15,0.05909004655230821
0.6,xy,16,0.07992432535965112
0.6,xy,17,0.0826650251926838
0.6,xy,18,0.10114081698171205
0.6,xy,19,0.08782222566489788
0.6,xy,20,0.09239800092181726
0.6,xy,21,0.09518268708008187
0.6,xy,22,0.11860121469084937
0.6,xy,23,0.07338290758319684
0.6,xy,24,0.06585361971467571
0.6,xy,25,0.07596831571315925
0.6,xy,26,0.06458587174011701
0.6,xy,27,0.06975907973546155
0.6,xy,28,0.04878973073729332
0.6,xy,29,0.07215436048608569
0.6,xy,30,0.10197654116606866
0.6,xy,31,0.08897833608069598
0.6,xy,32,0.06212400933127477
0.6,xy,33,0.0540110931296577
0.6,xy,34,0.07388954062078203
0.6,xy,35,0.06384870531577326
0.6,xy,36,0.07350808540767335
0.6,xy,37,0.06108151948904528
0.6,xy,38,0.07848984908136565
0.6,xy,39,0.07945767406942766
0.6,xy,40,0.06793526293283385
0.6,xy,41,0.08296600103292899
0.6,xy,42,0.09377283242296813
0.6,xy,43,0.05724503430836167
0.6,xy,44,0.0849037410311257
0.6,xy,45,0.0929174885858485
0.6,xy,46,0.06668407146280998
0.6,xy,47,0.05995084928245216
0.6,xy,48,0.06999942856394226
0.6,xy,49,0.07782352014893228
0.6,xy,50,0.06459479470759015
0.6,xy,51,0.07123345385757589
0.6,xy,52,0.08377965336647457
0.6,xy,53,0.07059634828404854
0.6,xy,54,0.07941118712176679
0.6,xy,55,0.054388312968308955
0.6,xy,56,0.07060450864394387
0.6,xy,57,0.07052798174792774
0.6,xy,58,0.08146757969720914
0.6,xy,59,0.08024431004716309
0.8,x_only,0,0.2787912843910058
0.8,x_only,1,0.3338912691441792
0.8,x_only,2,0.12450683227320178
0.8,x_only,3,0.19434588746949666
0.8,x_only,4,0.16942746170343934
0.8,x_only,5,0.5170718550410452
0.8,x_only,6,0.2096188335690602
0.8,x_only,7,0.21490048322742605
0.8,x_only,8,0.26676553767429384
0.8,x_only,9,0.3296142899527679
0.8,x_only,10,0.3583037212022217
0.8,x_only,11,0.49985697581714716
0.8,x_only,12,0.2772294716036108
0.8,x_only,13,0.27404521492170003
0.8,x_only,14,0.16744423877132128
0.8,x_only,15,0.14384149928363268
0.8,x_only,16,0.32589937001152086
0.8,x_only,17,0.1609295489565603
0.8,x_only,18,0.1750266061266936
0.8,x_only,19,0.22371779063864358
0.8,x_only,20,0.1893791436672528
0.8,x_only,21,0.34417517228274613
0.8,x_only,22,0.12902421616856594
0.8,x_only,23,0.2792677812148137
0.8,x_only,24,0.17484093563428676
0.8,x_only,25,0.340941529889028
0.8,x_only,26,0.23151770824872794
0.8,x_only,27,0.2602461020096267
0.8,x_only,28,0.16647806588213185
0.8,x_only,29,0.21979592555847405
0.8,x_only,30,0.21497087653211305
0.8,x_only,31,0.4442529500480283
0.8,x_only,32,0.1416337641787303
0.8,x_only,33,0.31214604031848003
0.8,x_only,34,0.15204919404261727
0.8,x_only,35,0.25007821735017194
0.8,x_only,36,0.15061699442537446
0.8,x_only,37,0.2654544754325558
0.8,x_only,38,0.37221055616273546
0.8,x_only,39,0.2446614276872713
0.8,x_only,40,0.31642303204266253
0.8,x_only,41,0.1711781154797014
0.8,x_only,42,0.2030905478658452
0.8,x_only,43,0.16294318208403774
0.8,x_only,44,0.15347023987353997
0.8,x_only,45,0.28648553142622335
0.8,x_only,46,0.21212352391847433
0.8,x_only,47,0.16564397450215096
0.8,x_only,48,0.3843736829966927
0.8,x_only,49,0.30050154018540387
0.8,x_only,50,0.37904279251589507
0.8,x_only,51,0.2352090764299294
0.8,x_only,52,0.3633618247174473
0.8,x_only,53,0.24004230909572388
0.8,x_only,54,0.30236331618580303
0.8,x_only,55,0.24626996373717464
0.8,x_only,56,0.283388341928636
0.8,x_only,57,0.2861566372685743
0.8,x_only,58,0.28425656376823155
0.8,x_only,59,0.3128028770071577
0.8,xy,0,0.061462505860156974
0.8,xy,1,0.05432370139581013
0.8,xy,2,0.09127705060395258
0.8,xy,3,0.08668953261093788
0.8,xy,4,0.04847251469029528
0.8,xy,5,0.07102315718286176
0.8,xy,6,0.0706160091045625
0.8,xy,7,0.059476947587161225
0.8,xy,8,0.0786150539950736
0.8,xy,9,0.11378793574311935
0.8,xy,10,0.07932775130503739
0.8,xy,11,0.0716353407601161
0.8,xy,12,0.05213631700245852
0.8,xy,13,0.08349452546400188
0.8,xy,14,0.09101572892378895
0.8,xy,15,0.08543530200140091
0.8,xy,16,0.0818075329597808
0.8,xy,17,0.07999861334441181
0.8,xy,18,0.10296912202025772
0.8,xy,19,0.053991041144621194
0.8,xy,20,0.08718662599832099
0.8,xy,21,0.05889003230189391
0.8,xy,22,0.06043416733514837
0.8,xy,23,0.056466252888706894
0.8,xy,24,0.06973796430658769
0.8,xy,25,0.07742173743793099
0.8,xy,26,0.055784372134503525
0.8,xy,27,0.0692537153587821
0.8,xy,28,0.08588994684966147
0.8,xy,29,0.0821455333807613
0.8,xy,30,0.09589445823172767
0.8,xy,31,0.05416562002734213
0.8,xy,32,0.06104316181804639
0.8,xy,33,0.07457023047756635
0.8,xy,34,0.07901068533572547
0.8,xy,35,0.09543539741505447
0.8,xy,36,0.07649426860576974
0.8,xy,37,0.07459841167695289
0.8,xy,38,0.06830446735138893
0.8,xy,39,0.09210479963372292
0.8,xy,40,0.06646595734369173
0.8,xy,41,0.06792211535037355
0.8,xy,42,0.050401665203434434
0.8,xy,43,0.06828952466345055
0.8,xy,44,0.061461268384160966
0.8,xy,45,0.04685304332417057
0.8,xy,46,0.06140224820020568
0.8,xy,47,0.04665923326528874
0.8,xy,48,0.06238739354784587
0.8,xy,49,0.06297952838892709
0.8,xy,50,0.058985394991531395
0.8,xy,51,0.07031151335450936
0.8,xy,52,0.10770445722770647
0.8,xy,53,0.07501947914875111
0.8,xy,54,0.11256066306428078
0.8,xy,55,0.09215050950399385
0.8,xy,56,0.06644324527370186
0.8,xy,57,0.06932323513667848
0.8,xy,58,0.08660440958077827
0.8,xy,59,0.0631763519818827
1.0,x_only,0,0.1940955742413033
1.0,x_only,1,0.193319464206577
1.0,x_only,2,0.19743722770835417
1.0,x_only,3,0.14198579748727655
1.0,x_only,4,0.35299108386012823
1.0,x_only,5,0.23776327796121513
1.0,x_only,6,0.22726974573875539
1.0,x_only,7,0.2298458767788703
1.0,x_only,8,0.154646018260425
1.0,x_only,9,0.2370161110337821
1.0,x_only,10,0.24376569040091453
1.0,x_only,11,0.12283341065239944
1.0,x_only,12,0.21979608549067287
1.0,x_only,13,0.19911195071367024
1.0,x_only,14,0.15246685831661566
1.0,x_only,15,0.1470181311021957
1.0,x_only,16,0.20971268667724385
1.0,x_only,17,0.2629851398272237
1.0,x_only,18,0.2012097634908585
1.0,x_only,19,0.1707592936874078
1.0,x_only,20,0.3379280603384994
1.0,x_only,21,0.3491723811909221
1.0,x_only,22,0.22516347103251072
1.0,x_only,23,0.22217520508776634
1.0,x_only,24,0.21288908543336174
1.0,x_only,25,0.2867227188562866
1.0,x_only,26,0.14815702096638994
1.0,x_only,27,0.1879863149036077
1.0,x_only,28,0.1518494887394695
1.0,x_only,29,0.30164271767039064
1.0,x_only,30,0.18186486426391404
1.0,x_only,31,0.20896875302678508
1.0,x_only,32,0.23944524703134362
1.0,x_only,33,0.20826377831197523
1.0,x_only,34,0.24459031918305096
1.0,x_only,35,0.07798349905759937
1.0,x_only,36,0.22726245907009812
1.0,x_only,37,0.29345801247778763
1.0,x_only,38,0.0937447086979135
1.0,x_only,39,0.16965712701945548
1.0,x_only,40,0.16678054763564526
1.0,x_only,41,0.19902868461047465
1.0,x_only,42,0.2574362256387555
1.0,x_only,43,0.18816997735303015
1.0,x_only,44,0.24713960141307126
1.0,x_only,45,0.16458552193423992
1.0,x_only,46,0.08165761424972862
1.0,x_only,47,0.21623200520492009
1.0,x_only,48,0.2217082819494569
