axis,axis_value,estimator,trial,sign_error
sigma_obs,0.1,x_pf,8,0.73
sigma_obs,0.1,x_pf,9,0.25
sigma_obs,0.1,x_pf,10,0.67
sigma_obs,0.1,x_pf,11,0.53
sigma_obs,0.1,x_pf,12,0.67
sigma_obs,0.1,x_pf,13,0.45
sigma_obs,0.1,x_pf,14,0.6
sigma_obs,0.1,x_pf,15,0.78
sigma_obs,0.1,x_pf,16,0.56
sigma_obs,0.1,x_pf,17,0.42
sigma_obs,0.1,x_pf,18,0.47
sigma_obs,0.1,x_pf,19,0.35
sigma_obs,0.1,x_pf,20,0.62
sigma_obs,0.1,x_pf,21,0.33
sigma_obs,0.1,x_pf,22,0.41
sigma_obs,0.1,x_pf,23,0.76
sigma_obs,0.1,x_pf,24,0.39
sigma_obs,0.1,x_pf,25,0.61
sigma_obs,0.1,x_pf,26,0.48
sigma_obs,0.1,x_pf,27,0.44
sigma_obs,0.1,x_pf,28,0.61
sigma_obs,0.1,x_pf,29,0.36
sigma_obs,0.1,x_pf,30,0.52
sigma_obs,0.1,x_pf,31,0.31
sigma_obs,0.1,x_pf,32,0.43
sigma_obs,0.1,x_pf,33,0.6
sigma_obs,0.1,x_pf,34,0.37
sigma_obs,0.1,x_pf,35,0.41
sigma_obs,0.1,x_pf,36,0.52
sigma_obs,0.1,x_pf,37,0.51
sigma_obs,0.1,x_pf,38,0.8
sigma_obs,0.1,x_pf,39,0.36
sigma_obs,0.1,x_pf,40,0.4
sigma_obs,0.1,x_pf,41,0.43
sigma_obs,0.1,x_pf,42,0.37
sigma_obs,0.1,x_pf,43,0.48
sigma_obs,0.1,x_pf,44,0.35
sigma_obs,0.1,x_pf,45,0.81
sigma_obs,0.1,x_pf,46,0.56
sigma_obs,0.1,x_pf,47,0.3
sigma_obs,0.1,x_pf,48,0.31
sigma_obs,0.1,x_pf,49,0.5
sigma_obs,0.1,x_pf,50,0.42
sigma_obs,0.1,x_pf,51,0.44
sigma_obs,0.1,x_pf,52,0.57
sigma_obs,0.1,x_pf,53,0.45
sigma_obs,0.1,x_pf,54,0.39
sigma_obs,0.1,x_pf,55,0.59
sigma_obs,0.1,x_pf,56,0.83
sigma_obs,0.1,x_pf,57,0.53
sigma_obs,0.1,x_pf,58,0.75
sigma_obs,0.1,x_pf,59,0.66
sigma_obs,0.1,x_pf,60,0.32
sigma_obs,0.1,x_pf,61,0.38
sigma_obs,0.1,x_pf,62,0.65
sigma_obs,0.1,x_pf,63,0.85
sigma_obs,0.1,x_pf,64,0.38
sigma_obs,0.1,x_pf,65,0.5
sigma_obs,0.1,x_pf,66,0.44
sigma_obs,0.1,x_pf,67,0.49
sigma_obs,0.1,x_pf,68,0.41
sigma_obs,0.1,x_pf,69,0.39
sigma_obs,0.1,x_pf,70,0.75
sigma_obs,0.1,x_pf,71,0.4
sigma_obs,0.1,x_pf,72,0.33
sigma_obs,0.1,x_pf,73,0.14
sigma_obs,0.1,x_pf,74,0.45
sigma_obs,0.1,x_pf,75,0.76
