regime,theta_1,theta_2,c12,c21,trial,sign_error_q1,sign_error_q2
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,5,0.23333333333333334,0.07333333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,6,0.47333333333333333,0.5533333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,7,0.16,0.08666666666666667
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,8,0.5266666666666666,0.5
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,9,0.05333333333333334,0.05333333333333334
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,10,0.013333333333333334,0.013333333333333334
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,11,0.8733333333333333,0.8066666666666666
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,12,0.06,0.08666666666666667
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,13,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,14,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,15,0.35333333333333333,0.41333333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,16,0.36,0.46
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,17,0.5933333333333334,0.5866666666666667
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,18,0.006666666666666667,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,19,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,20,0.14,0.22
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,21,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,22,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,23,0.16,0.2733333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,24,0.38666666666666666,0.32
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,25,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,26,0.05333333333333334,0.05333333333333334
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,27,0.86,0.8133333333333334
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,28,0.4666666666666667,0.36
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,29,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,30,0.4066666666666667,0.22
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,31,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,32,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,33,0.05333333333333334,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,34,0.96,0.98
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,35,0.36666666666666664,0.5
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,36,0.12666666666666668,0.1
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,37,0.28,0.18666666666666668
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,38,0.7533333333333333,0.48
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,39,0.06,0.03333333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,40,0.04666666666666667,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,41,0.20666666666666667,0.44
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,42,0.34,0.19333333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,43,0.42,0.41333333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,44,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,45,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,46,0.6333333333333333,0.4866666666666667
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,47,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,48,0.64,0.6133333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,49,0.46,0.6533333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,50,0.05333333333333334,0.03333333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,51,0.3466666666666667,0.44
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,52,0.6333333333333333,0.52
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,53,1.0,1.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,54,0.14,0.05333333333333334
